name,gene
"KEGG_ENDOMETRIAL_CANCER","GRB2"
"KEGG_ENDOMETRIAL_CANCER","HRAS"
"KEGG_ENDOMETRIAL_CANCER","CASP9"
"KEGG_ENDOMETRIAL_CANCER","LEF1"
"KEGG_ENDOMETRIAL_CANCER","PIK3R5"
"KEGG_ENDOMETRIAL_CANCER","NRAS"
"KEGG_ENDOMETRIAL_CANCER","AXIN1"
"KEGG_ENDOMETRIAL_CANCER","ILK"
"KEGG_ENDOMETRIAL_CANCER","PDPK1"
"KEGG_ENDOMETRIAL_CANCER","AXIN2"
"KEGG_ENDOMETRIAL_CANCER","PIK3CG"
"KEGG_ENDOMETRIAL_CANCER","AKT2"
"KEGG_ENDOMETRIAL_CANCER","SOS1"
"KEGG_ENDOMETRIAL_CANCER","AKT1"
"KEGG_ENDOMETRIAL_CANCER","GSK3B"
"KEGG_ENDOMETRIAL_CANCER","PIK3R3"
"KEGG_ENDOMETRIAL_CANCER","TCF7"
"KEGG_ENDOMETRIAL_CANCER","TCF7L2"
"KEGG_ENDOMETRIAL_CANCER","MYC"
"KEGG_ENDOMETRIAL_CANCER","BRAF"
"KEGG_ENDOMETRIAL_CANCER","EGFR"
"KEGG_ENDOMETRIAL_CANCER","TCF7L1"
"KEGG_NON_SMALL_CELL_LUNG_CANCER","PIK3CB"
"KEGG_NON_SMALL_CELL_LUNG_CANCER","FOXO3"
"KEGG_NON_SMALL_CELL_LUNG_CANCER","RXRG"
"KEGG_NON_SMALL_CELL_LUNG_CANCER","TP53"
"KEGG_NON_SMALL_CELL_LUNG_CANCER","CCND1"
"KEGG_NON_SMALL_CELL_LUNG_CANCER","MAP2K2"
"KEGG_NON_SMALL_CELL_LUNG_CANCER","KRAS"
"KEGG_NON_SMALL_CELL_LUNG_CANCER","AKT3"
"KEGG_NON_SMALL_CELL_LUNG_CANCER","PIK3R2"
"KEGG_NON_SMALL_CELL_LUNG_CANCER","RXRB"
"KEGG_NON_SMALL_CELL_LUNG_CANCER","SOS2"
"KEGG_NON_SMALL_CELL_LUNG_CANCER","PIK3R1"
"KEGG_NON_SMALL_CELL_LUNG_CANCER","ERBB2"
"KEGG_NON_SMALL_CELL_LUNG_CANCER","RASSF5"
"KEGG_NON_SMALL_CELL_LUNG_CANCER","PIK3CD"
"KEGG_NON_SMALL_CELL_LUNG_CANCER","EGF"
"KEGG_NON_SMALL_CELL_LUNG_CANCER","PIK3CA"
"KEGG_NON_SMALL_CELL_LUNG_CANCER","PRKCG"
"KEGG_NON_SMALL_CELL_LUNG_CANCER","MAPK1"
"KEGG_NON_SMALL_CELL_LUNG_CANCER","ARAF"
"KEGG_NON_SMALL_CELL_LUNG_CANCER","E2F2"
"KEGG_NON_SMALL_CELL_LUNG_CANCER","MAPK3"
"KEGG_NON_SMALL_CELL_LUNG_CANCER","FHIT"
"KEGG_NON_SMALL_CELL_LUNG_CANCER","RAF1"
"KEGG_NON_SMALL_CELL_LUNG_CANCER","MAP2K1"
"KEGG_NON_SMALL_CELL_LUNG_CANCER","BAD"
"KEGG_NON_SMALL_CELL_LUNG_CANCER","GRB2"
"KEGG_NON_SMALL_CELL_LUNG_CANCER","PLCG1"
"KEGG_NON_SMALL_CELL_LUNG_CANCER","TGFA"
"KEGG_NON_SMALL_CELL_LUNG_CANCER","PRKCB"
"KEGG_NON_SMALL_CELL_LUNG_CANCER","HRAS"
"KEGG_NON_SMALL_CELL_LUNG_CANCER","CASP9"
"KEGG_NON_SMALL_CELL_LUNG_CANCER","PIK3R5"
"KEGG_NON_SMALL_CELL_LUNG_CANCER","PLCG2"
"KEGG_NON_SMALL_CELL_LUNG_CANCER","NRAS"
"KEGG_NON_SMALL_CELL_LUNG_CANCER","STK4"
